Package_Name,Total_Paths,Total_Error,Total_ File_Descriptor,Python_Related_Keywords,Install_Package_Keywords,Root_DIR_Installation,Temporary_DIR_Installation,Home_DIR_Installation,User_Access,Sys_Access,Etc_DIR_Installation,Other_DIR_Installation,Level
10Cent10-999.0.4.tar.gz,8045,8045,29,1083,2305,0,71,792,411,1225,151,5395,1
10Cent11-999.0.4.tar.gz,4790,4790,12,1616,843,2,87,1118,721,1200,104,1558,1
11Cent-999.0.0.tar.gz,26159,26159,27,3299,4536,0,200,2485,1072,1236,450,20716,1
11Cent-999.0.1.tar.gz,11194,11194,28,1521,2558,2,97,1035,891,1211,265,7693,1
11Cent-999.0.2.tar.gz,13561,13561,35,2656,5265,501,17,1497,1719,1219,291,8317,1
11Cent-999.0.3.tar.gz,52028,52028,25,1555,4274,4,30,930,1424,1262,564,47814,1
11Cent-999.0.4.tar.gz,9746,9746,22,731,2729,4,23,439,685,1211,196,7188,1
12Cent-999.0.0.tar.gz,34104,34104,50,1815,4825,3,53,1309,2326,1036,982,28395,1
12Cent-999.0.1.tar.gz,8877,8877,22,773,2699,1,56,522,437,1195,195,6471,1
1337c-4.4.7.tar.gz,9539,9539,22,1856,3726,0,68,1536,622,1073,424,5816,1
1337test-1.tar.gz,9414,9414,28,2868,4008,2,169,2250,1004,1086,433,4470,1
1337x,994,994,16,588,561,0,121,424,244,54,33,118,0
1337z-4.4.7.tar.gz,3401,3401,27,81,329,0,15,55,226,1218,116,1771,1
13Cent-999.0.1.tar.gz,12892,12892,28,4159,4824,504,106,2498,1551,78,297,7858,1
13Cent-999.0.2.tar.gz,9944,9944,24,2327,4063,6,105,1943,771,61,140,6918,1
14Cent-999.0.1.tar.gz,9040,9040,22,490,2329,2,22,275,543,28,155,8015,1
15Cent-999.0.1.tar.gz,13429,13429,23,4081,4395,502,106,2453,1623,30,268,8447,1
16Cent-999.0.1.tar.gz,8094,8094,19,287,2157,0,10,120,274,22,94,7574,1
1inch-8.6.tar.gz,33480,33480,44,5090,6868,505,138,3242,2316,1244,510,25525,1
1inch-8.7.tar.gz,45342,45342,23,5659,6663,505,144,3704,2389,1236,692,36672,1
1inch-8.9.tar.gz,10976,10976,20,1449,2731,2,116,927,814,382,183,8552,1
