Package_Name,Total_Entries,Unique_C-COMM,Python_Related_Process,State_Transition,Local_IP_Address_Access,Remote_IP_Address_Access,Local_Port_Access,Remote_Port_Access,Level
10Cent10-999.0.4.tar.gz,946,7,316,"{'FIN_WAIT1 -> ->': 188, 'SYN_SENT -> ->': 187, 'FIN_WAIT2 -> ->': 181, 'CLOSE -> ->': 164, 'ESTABLISHED -> ->': 162, '443 -> ESTABLISHED': 30, '443 -> CLOSE': 23, 'CLOSING -> ->': 6, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 2}",2,62,194,21,1
10Cent11-999.0.4.tar.gz,874,6,301,"{'SYN_SENT -> ->': 177, 'FIN_WAIT1 -> ->': 170, 'FIN_WAIT2 -> ->': 167, 'CLOSE -> ->': 154, 'ESTABLISHED -> ->': 153, '443 -> ESTABLISHED': 23, '443 -> CLOSE': 22, 'CLOSING -> ->': 3, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 2}",2,51,181,18,1
11Cent-999.0.0.tar.gz,801,4,272,"{'FIN_WAIT1 -> ->': 160, 'SYN_SENT -> ->': 157, 'FIN_WAIT2 -> ->': 154, 'ESTABLISHED -> ->': 140, 'CLOSE -> ->': 138, '443 -> ESTABLISHED': 25, '443 -> CLOSE': 19, 'CLOSE_WAIT -> ->': 3, 'CLOSING -> ->': 3, 'LAST_ACK -> ->': 2}",2,52,164,17,1
11Cent-999.0.1.tar.gz,728,4,254,"{'SYN_SENT -> ->': 149, 'FIN_WAIT1 -> ->': 141, 'FIN_WAIT2 -> ->': 138, 'CLOSE -> ->': 130, 'ESTABLISHED -> ->': 130, '443 -> CLOSE': 19, '443 -> ESTABLISHED': 14, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 2, 'CLOSING -> ->': 2}",2,39,152,14,1
11Cent-999.0.2.tar.gz,655,4,234,"{'SYN_SENT -> ->': 133, 'FIN_WAIT1 -> ->': 128, 'FIN_WAIT2 -> ->': 127, 'CLOSE -> ->': 119, 'ESTABLISHED -> ->': 119, '443 -> CLOSE': 14, '443 -> ESTABLISHED': 11, 'CLOSE_WAIT -> ->': 2, 'CLOSING -> ->': 1, 'LAST_ACK -> ->': 1}",2,32,135,11,1
11Cent-999.0.3.tar.gz,582,4,210,"{'SYN_SENT -> ->': 116, 'FIN_WAIT1 -> ->': 115, 'FIN_WAIT2 -> ->': 115, 'ESTABLISHED -> ->': 109, 'CLOSE -> ->': 105, '443 -> CLOSE': 11, '443 -> ESTABLISHED': 8, 'CLOSE_WAIT -> ->': 2, 'LAST_ACK -> ->': 1}",2,28,122,10,1
11Cent-999.0.4.tar.gz,582,4,194,"{'FIN_WAIT1 -> ->': 116, 'SYN_SENT -> ->': 115, 'FIN_WAIT2 -> ->': 111, 'CLOSE -> ->': 99, 'ESTABLISHED -> ->': 99, '443 -> ESTABLISHED': 21, '443 -> CLOSE': 16, 'CLOSE_WAIT -> ->': 2, 'CLOSING -> ->': 2, 'LAST_ACK -> ->': 1}",2,46,119,16,1
12Cent-999.0.0.tar.gz,218,4,62,"{'FIN_WAIT1 -> ->': 45, 'FIN_WAIT2 -> ->': 42, 'SYN_SENT -> ->': 39, 'ESTABLISHED -> ->': 34, 'CLOSE -> ->': 30, '443 -> ESTABLISHED': 16, '443 -> CLOSE': 9, 'CLOSING -> ->': 2, 'CLOSE_WAIT -> ->': 1}",2,38,50,15,1
12Cent-999.0.1.tar.gz,145,4,46,"{'SYN_SENT -> ->': 31, 'FIN_WAIT1 -> ->': 27, 'FIN_WAIT2 -> ->': 26, 'CLOSE -> ->': 24, 'ESTABLISHED -> ->': 24, '443 -> CLOSE': 7, '443 -> ESTABLISHED': 4, 'CLOSE_WAIT -> ->': 1, 'CLOSING -> ->': 1}",2,23,36,10,1
1337c-4.4.7.tar.gz,72,4,22,"{'FIN_WAIT1 -> ->': 15, 'FIN_WAIT2 -> ->': 15, 'ESTABLISHED -> ->': 14, 'SYN_SENT -> ->': 13, 'CLOSE -> ->': 10, '443 -> CLOSE': 3, '443 -> ESTABLISHED': 2}",2,15,21,5,1
1337test-1.tar.gz,364,5,114,"{'FIN_WAIT1 -> ->': 74, 'SYN_SENT -> ->': 70, 'FIN_WAIT2 -> ->': 69, 'CLOSE -> ->': 60, 'ESTABLISHED -> ->': 59, '443 -> ESTABLISHED': 16, '443 -> CLOSE': 11, 'CLOSING -> ->': 4, 'CLOSE_WAIT -> ->': 1}",2,41,77,15,1
1337x,6929,28,445,"{'SYN_SENT -> ->': 1429, 'FIN_WAIT1 -> ->': 1248, '443 -> CLOSE': 1064, '443 -> ESTABLISHED': 976, 'FIN_WAIT2 -> ->': 839, 'ESTABLISHED -> ->': 456, 'CLOSE -> ->': 365, 'CLOSING -> ->': 209, 'LAST_ACK -> ->': 162, '443 -> CLOSE_WAIT': 89, 'CLOSE_WAIT -> ->': 74, '80 -> CLOSE': 5, '80 -> ESTABLISHED': 5, '443 -> SYN_SENT': 5, '91.108.56.143 -> 443': 1, '80 -> CLOSING': 1, '443 -> FIN_WAIT1': 1}",7,1230,1380,171,0
1337z-4.4.7.tar.gz,72,4,6,"{'443 -> ESTABLISHED': 16, 'SYN_SENT -> ->': 13, 'FIN_WAIT1 -> ->': 13, 'FIN_WAIT2 -> ->': 11, '443 -> CLOSE': 9, 'CLOSE -> ->': 4, 'ESTABLISHED -> ->': 4, 'CLOSE_WAIT -> ->': 1, 'CLOSING -> ->': 1}",2,32,20,15,1
13Cent-999.0.1.tar.gz,3493,15,940,"{'SYN_SENT -> ->': 709, 'FIN_WAIT1 -> ->': 662, 'FIN_WAIT2 -> ->': 615, 'ESTABLISHED -> ->': 499, 'CLOSE -> ->': 495, '443 -> CLOSE': 208, '443 -> ESTABLISHED': 186, 'CLOSING -> ->': 38, 'LAST_ACK -> ->': 26, 'CLOSE_WAIT -> ->': 24, '80 -> CLOSE': 10, '80 -> ESTABLISHED': 10, '443 -> CLOSE_WAIT': 5, '443 -> SYN_SENT': 4, '80 -> LAST_ACK': 1, '443 -> FIN_WAIT1': 1}",4,289,704,64,1
13Cent-999.0.2.tar.gz,3561,15,960,"{'SYN_SENT -> ->': 726, 'FIN_WAIT1 -> ->': 673, 'FIN_WAIT2 -> ->': 625, 'ESTABLISHED -> ->': 509, 'CLOSE -> ->': 505, '443 -> CLOSE': 215, '443 -> ESTABLISHED': 188, 'CLOSING -> ->': 39, 'LAST_ACK -> ->': 26, 'CLOSE_WAIT -> ->': 24, '80 -> CLOSE': 10, '80 -> ESTABLISHED': 10, '443 -> CLOSE_WAIT': 5, '443 -> SYN_SENT': 4, '80 -> LAST_ACK': 1, '443 -> FIN_WAIT1': 1}",4,292,721,65,1
14Cent-999.0.1.tar.gz,3416,15,920,"{'SYN_SENT -> ->': 690, 'FIN_WAIT1 -> ->': 650, 'FIN_WAIT2 -> ->': 605, 'ESTABLISHED -> ->': 488, 'CLOSE -> ->': 484, '443 -> CLOSE': 200, '443 -> ESTABLISHED': 184, 'CLOSING -> ->': 36, 'LAST_ACK -> ->': 25, 'CLOSE_WAIT -> ->': 23, '80 -> CLOSE': 10, '80 -> ESTABLISHED': 10, '443 -> CLOSE_WAIT': 5, '443 -> SYN_SENT': 4, '80 -> LAST_ACK': 1, '443 -> FIN_WAIT1': 1}",4,285,686,62,1
15Cent-999.0.1.tar.gz,3345,15,900,"{'SYN_SENT -> ->': 677, 'FIN_WAIT1 -> ->': 634, 'FIN_WAIT2 -> ->': 590, 'ESTABLISHED -> ->': 478, 'CLOSE -> ->': 474, '443 -> CLOSE': 200, '443 -> ESTABLISHED': 178, 'CLOSING -> ->': 35, 'LAST_ACK -> ->': 25, 'CLOSE_WAIT -> ->': 23, '80 -> CLOSE': 10, '80 -> ESTABLISHED': 10, '443 -> CLOSE_WAIT': 5, '443 -> SYN_SENT': 4, '80 -> LAST_ACK': 1, '443 -> FIN_WAIT1': 1}",4,279,668,62,1
16Cent-999.0.1.tar.gz,3269,15,880,"{'SYN_SENT -> ->': 661, 'FIN_WAIT1 -> ->': 621, 'FIN_WAIT2 -> ->': 578, 'ESTABLISHED -> ->': 468, 'CLOSE -> ->': 464, '443 -> CLOSE': 191, '443 -> ESTABLISHED': 175, 'CLOSING -> ->': 34, 'LAST_ACK -> ->': 24, 'CLOSE_WAIT -> ->': 22, '80 -> CLOSE': 10, '80 -> ESTABLISHED': 10, '443 -> CLOSE_WAIT': 5, '443 -> SYN_SENT': 4, '80 -> LAST_ACK': 1, '443 -> FIN_WAIT1': 1}",4,274,653,60,1
1inch-8.6.tar.gz,2619,13,840,"{'SYN_SENT -> ->': 522, 'FIN_WAIT1 -> ->': 513, 'FIN_WAIT2 -> ->': 484, 'CLOSE -> ->': 432, 'ESTABLISHED -> ->': 432, '443 -> ESTABLISHED': 91, '443 -> CLOSE': 86, 'CLOSING -> ->': 22, 'CLOSE_WAIT -> ->': 12, 'LAST_ACK -> ->': 10, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,158,531,40,1
1inch-8.7.tar.gz,2619,13,820,"{'SYN_SENT -> ->': 533, 'FIN_WAIT1 -> ->': 506, 'FIN_WAIT2 -> ->': 474, 'CLOSE -> ->': 422, 'ESTABLISHED -> ->': 422, '443 -> CLOSE': 107, '443 -> ESTABLISHED': 94, 'CLOSING -> ->': 24, 'CLOSE_WAIT -> ->': 12, 'LAST_ACK -> ->': 10, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,167,542,46,1
1inch-8.9.tar.gz,2550,13,800,"{'SYN_SENT -> ->': 516, 'FIN_WAIT1 -> ->': 494, 'FIN_WAIT2 -> ->': 464, 'CLOSE -> ->': 412, 'ESTABLISHED -> ->': 412, '443 -> CLOSE': 100, '443 -> ESTABLISHED': 92, 'CLOSING -> ->': 23, 'CLOSE_WAIT -> ->': 12, 'LAST_ACK -> ->': 10, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,163,526,44,1
2022-requests-3.0.0.tar.gz,2475,13,780,"{'SYN_SENT -> ->': 495, 'FIN_WAIT1 -> ->': 483, 'FIN_WAIT2 -> ->': 454, 'CLOSE -> ->': 402, 'ESTABLISHED -> ->': 402, '443 -> ESTABLISHED': 91, '443 -> CLOSE': 89, 'CLOSING -> ->': 22, 'CLOSE_WAIT -> ->': 12, 'LAST_ACK -> ->': 10, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,159,505,41,1
282828282828282828-0.0.0.tar.gz,2257,13,732,"{'SYN_SENT -> ->': 456, 'FIN_WAIT1 -> ->': 439, 'FIN_WAIT2 -> ->': 412, 'CLOSE -> ->': 376, 'ESTABLISHED -> ->': 376, '443 -> CLOSE': 76, '443 -> ESTABLISHED': 70, 'CLOSING -> ->': 19, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,133,457,37,1
3m,656,15,263,"{'ESTABLISHED -> ->': 133, 'CLOSE -> ->': 131, 'SYN_SENT -> ->': 130, 'FIN_WAIT1 -> ->': 115, 'FIN_WAIT2 -> ->': 107, 'CLOSE_WAIT -> ->': 17, 'LAST_ACK -> ->': 17, 'CLOSING -> ->': 6}",1,15,134,2,0
3m-promo-link-gen-1.0.tar.gz,2184,13,704,"{'SYN_SENT -> ->': 442, 'FIN_WAIT1 -> ->': 424, 'FIN_WAIT2 -> ->': 398, 'CLOSE -> ->': 362, 'ESTABLISHED -> ->': 362, '443 -> CLOSE': 76, '443 -> ESTABLISHED': 69, 'CLOSING -> ->': 18, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,132,442,37,1
3-py,1312,5,487,"{'FIN_WAIT1 -> ->': 263, 'SYN_SENT -> ->': 257, 'FIN_WAIT2 -> ->': 256, 'CLOSE -> ->': 246, 'ESTABLISHED -> ->': 246, '443 -> ESTABLISHED': 22, '443 -> CLOSE': 11, 'CLOSING -> ->': 7, 'CLOSE_WAIT -> ->': 2, 'LAST_ACK -> ->': 2}",2,54,269,21,0
3web.py-1.0.0.tar.gz,2112,13,664,"{'SYN_SENT -> ->': 432, 'FIN_WAIT1 -> ->': 406, 'FIN_WAIT2 -> ->': 379, 'CLOSE -> ->': 342, 'ESTABLISHED -> ->': 342, '443 -> CLOSE': 87, '443 -> ESTABLISHED': 71, 'CLOSING -> ->': 20, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,138,435,41,1
3web-1.0.0.tar.gz,2182,13,684,"{'SYN_SENT -> ->': 450, 'FIN_WAIT1 -> ->': 417, 'FIN_WAIT2 -> ->': 389, 'CLOSE -> ->': 352, 'ESTABLISHED -> ->': 352, '443 -> CLOSE': 96, '443 -> ESTABLISHED': 72, 'CLOSING -> ->': 21, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,140,451,43,1
4123-1-py3-none-any.tar.gz,2039,13,644,"{'SYN_SENT -> ->': 411, 'FIN_WAIT1 -> ->': 395, 'FIN_WAIT2 -> ->': 369, 'CLOSE -> ->': 332, 'ESTABLISHED -> ->': 332, '443 -> CLOSE': 78, '443 -> ESTABLISHED': 70, 'CLOSING -> ->': 19, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,134,417,39,1
5345345345345345,2233,12,246,"{'SYN_SENT -> ->': 451, 'FIN_WAIT1 -> ->': 390, 'FIN_WAIT2 -> ->': 298, '443 -> CLOSE': 272, '443 -> ESTABLISHED': 262, 'ESTABLISHED -> ->': 185, 'CLOSE -> ->': 178, 'CLOSING -> ->': 85, 'LAST_ACK -> ->': 54, 'CLOSE_WAIT -> ->': 50, '443 -> CLOSE_WAIT': 5, '443 -> FIN_WAIT1': 1, '80 -> CLOSE': 1, '80 -> ESTABLISHED': 1}",2,361,452,76,0
90456984689490856-0-py3-none-any.tar.gz,1966,13,624,"{'SYN_SENT -> ->': 395, 'FIN_WAIT1 -> ->': 382, 'FIN_WAIT2 -> ->': 357, 'CLOSE -> ->': 322, 'ESTABLISHED -> ->': 322, '443 -> CLOSE': 69, '443 -> ESTABLISHED': 68, 'CLOSING -> ->': 18, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,130,401,36,1
a1rn-0.1.4.tar.gz,1965,13,604,"{'SYN_SENT -> ->': 403, 'FIN_WAIT1 -> ->': 376, 'FIN_WAIT2 -> ->': 349, 'CLOSE -> ->': 312, 'ESTABLISHED -> ->': 312, '443 -> CLOSE': 89, '443 -> ESTABLISHED': 71, 'CLOSING -> ->': 20, 'CLOSE_WAIT -> ->': 10, 'LAST_ACK -> ->': 8, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,139,409,42,1
aadhaar,575,7,206,"{'SYN_SENT -> ->': 115, 'FIN_WAIT1 -> ->': 114, 'FIN_WAIT2 -> ->': 109, 'CLOSE -> ->': 104, 'ESTABLISHED -> ->': 104, '443 -> ESTABLISHED': 11, '443 -> CLOSE': 11, 'CLOSING -> ->': 5, 'CLOSE_WAIT -> ->': 1, 'LAST_ACK -> ->': 1}",3,34,123,14,0
AadhaarCrypt-1.0.tar.gz,1893,13,584,"{'SYN_SENT -> ->': 389, 'FIN_WAIT1 -> ->': 363, 'FIN_WAIT2 -> ->': 336, 'CLOSE -> ->': 301, 'ESTABLISHED -> ->': 301, '443 -> CLOSE': 84, '443 -> ESTABLISHED': 68, 'CLOSING -> ->': 20, 'CLOSE_WAIT -> ->': 9, 'LAST_ACK -> ->': 7, '80 -> CLOSE': 6, '80 -> ESTABLISHED': 6, '443 -> SYN_SENT': 2, '443 -> FIN_WAIT1': 1}",2,133,394,40,1
aaiohttp-0.1.tar.gz,1874,30,179,"{'SYN_SENT -> ->': 405, 'FIN_WAIT1 -> ->': 401, '443 -> CLOSE': 314, '443 -> ESTABLISHED': 281, 'ESTABLISHED -> ->': 145, 'FIN_WAIT2 -> ->': 127, 'CLOSE -> ->': 91, 'LAST_ACK -> ->': 50, '443 -> CLOSE_WAIT': 44, 'CLOSING -> ->': 6, 'CLOSE_WAIT -> ->': 6, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,367,474,32,1
aasyncio-1.0.0.tar.gz,1674,8,544,"{'SYN_SENT -> ->': 335, 'FIN_WAIT1 -> ->': 327, 'FIN_WAIT2 -> ->': 311, 'CLOSE -> ->': 279, 'ESTABLISHED -> ->': 279, '443 -> ESTABLISHED': 54, '443 -> CLOSE': 52, 'CLOSING -> ->': 16, 'CLOSE_WAIT -> ->': 7, 'LAST_ACK -> ->': 5, '80 -> CLOSE': 4, '80 -> ESTABLISHED': 4, '443 -> FIN_WAIT1': 1}",2,105,340,31,1
