Section,Method,Rank,Feature,Total_in_Method
Combined,CORR (|r| < 0.5),1,IO_Operations,30
Combined,CORR (|r| < 0.5),2,File_Operations,30
Combined,CORR (|r| < 0.5),3,Network_Operations,30
Combined,CORR (|r| < 0.5),4,Time_Operations,30
Combined,CORR (|r| < 0.5),5,Security_Operations,30
Combined,CORR (|r| < 0.5),6,Process_Operations,30
Combined,CORR (|r| < 0.5),7,Read_Processes,30
Combined,CORR (|r| < 0.5),8,Write_Processes,30
Combined,CORR (|r| < 0.5),9,Read_Data_Transfer,30
Combined,CORR (|r| < 0.5),10,Write_Data_Transfer,30
Combined,CORR (|r| < 0.5),11,File_Access_Processes,30
Combined,CORR (|r| < 0.5),12,Total_Dependencies,30
Combined,CORR (|r| < 0.5),13,Direct_Dependencies,30
Combined,CORR (|r| < 0.5),14,Indirect_Dependencies,30
Combined,CORR (|r| < 0.5),15,Root_DIR_Access,30
Combined,CORR (|r| < 0.5),16,Temp_DIR_Access,30
Combined,CORR (|r| < 0.5),17,Sys_DIR_Access,30
Combined,CORR (|r| < 0.5),18,State_Transition,30
Combined,CORR (|r| < 0.5),19,Local_IPs_Access,30
Combined,CORR (|r| < 0.5),20,Total_Dependencies,30
Combined,CORR (|r| < 0.5),21,Pattern_1,30
Combined,CORR (|r| < 0.5),22,Pattern_2,30
Combined,CORR (|r| < 0.5),23,Pattern_3,30
Combined,CORR (|r| < 0.5),24,Pattern_4,30
Combined,CORR (|r| < 0.5),25,Pattern_5,30
Combined,CORR (|r| < 0.5),26,Pattern_6,30
Combined,CORR (|r| < 0.5),27,Pattern_7,30
Combined,CORR (|r| < 0.5),28,Pattern_8,30
Combined,CORR (|r| < 0.5),29,Pattern_9,30
Combined,CORR (|r| < 0.5),30,Pattern_10,30
Combined,ANOVA (Top 30%),1,Root_DIR_Access,12
Combined,ANOVA (Top 30%),2,Home_DIR_Access,12
Combined,ANOVA (Top 30%),3,User_DIR_Access,12
Combined,ANOVA (Top 30%),4,Other_DIR_Access,12
Combined,ANOVA (Top 30%),5,IO_Operations,12
Combined,ANOVA (Top 30%),6,File_Operations,12
Combined,ANOVA (Top 30%),7,Network_Operations,12
Combined,ANOVA (Top 30%),8,Read_Processes,12
Combined,ANOVA (Top 30%),9,Write_Processes,12
Combined,ANOVA (Top 30%),10,Write_Data_Transfer,12
Combined,ANOVA (Top 30%),11,File_Access_Processes,12
Combined,ANOVA (Top 30%),12,Direct_Dependencies,12
Combined,FLAML (> 0.03),1,IO_Operations,17
Combined,FLAML (> 0.03),2,File_Operations,17
Combined,FLAML (> 0.03),3,Time_Operations,17
Combined,FLAML (> 0.03),4,Process_Operations,17
Combined,FLAML (> 0.03),5,Write_Processes,17
Combined,FLAML (> 0.03),6,Read_Data_Transfer,17
Combined,FLAML (> 0.03),7,Local_Port_Access,17
Combined,FLAML (> 0.03),8,Remote_Port_Access,17
Combined,FLAML (> 0.03),9,Total_Dependencies,17
Combined,FLAML (> 0.03),10,Direct_Dependencies,17
Combined,FLAML (> 0.03),11,Indirect_Dependencies,17
Combined,FLAML (> 0.03),12,Pattern_1,17
Combined,FLAML (> 0.03),13,Pattern_2,17
Combined,FLAML (> 0.03),14,Pattern_3,17
Combined,FLAML (> 0.03),15,Pattern_4,17
Combined,FLAML (> 0.03),16,Pattern_5,17
Combined,FLAML (> 0.03),17,Pattern_6,17
Combined,PSO,1,IO_Operations,19
Combined,PSO,2,File_Operations,19
Combined,PSO,3,Network_Operations,19
Combined,PSO,4,Process_Operations,19
Combined,PSO,5,Read_Processes,19
Combined,PSO,6,Write_Processes,19
Combined,PSO,7,Read_Data_Transfer,19
Combined,PSO,8,Write_Data_Transfer,19
Combined,PSO,9,File_Access_Processes,19
Combined,PSO,10,Total_Dependencies,19
Combined,PSO,11,Root_DIR_Access,19
Combined,PSO,12,Temp_DIR_Access,19
Combined,PSO,13,Home_DIR_Access,19
Combined,PSO,14,Local_Port_Access,19
Combined,PSO,15,Total_Dependencies,19
Combined,PSO,16,Pattern_2,19
Combined,PSO,17,Pattern_7,19
Combined,PSO,18,Pattern_8,19
Combined,PSO,19,Pattern_9,19
Combined,WOA,1,IO_Operations,24
Combined,WOA,2,File_Operations,24
Combined,WOA,3,Network_Operations,24
Combined,WOA,4,Process_Operations,24
Combined,WOA,5,Read_Data_Transfer,24
Combined,WOA,6,Write_Data_Transfer,24
Combined,WOA,7,File_Access_Processes,24
Combined,WOA,8,Total_Dependencies_List,24
Combined,WOA,9,Indirect_Dependencies_List,24
Combined,WOA,10,Home_DIR_Access,24
Combined,WOA,11,Local_IPs_Access,24
Combined,WOA,12,Remote_IPs_Access,24
Combined,WOA,13,Local_Port_Access,24
Combined,WOA,14,Remote_Port_Access,24
Combined,WOA,15,Total_Dependencies,24
Combined,WOA,16,Indirect_Dependencies,24
Combined,WOA,17,Pattern_1,24
Combined,WOA,18,Pattern_2,24
Combined,WOA,19,Pattern_5,24
Combined,WOA,20,Pattern_6,24
Combined,WOA,21,Pattern_7,24
Combined,WOA,22,Pattern_8,24
Combined,WOA,23,Pattern_9,24
Combined,WOA,24,Write_Processes,24
Filetop,CORR (|r| < 0.5),1,Total_Reads,7
Filetop,CORR (|r| < 0.5),2,Total_Writes,7
Filetop,CORR (|r| < 0.5),3,Read_Processes,7
Filetop,CORR (|r| < 0.5),4,Write_Processes,7
Filetop,CORR (|r| < 0.5),5,Read_Data_Transfer_Processes,7
Filetop,CORR (|r| < 0.5),6,Write_Data_Transfer_Processes,7
Filetop,CORR (|r| < 0.5),7,File_Access_Processes,7
Filetop,ANOVA (Top 30%),1,Total_Write_Data_Transfer,5
Filetop,ANOVA (Top 30%),2,Read_Processes,5
Filetop,ANOVA (Top 30%),3,Write_Processes,5
Filetop,ANOVA (Top 30%),4,Write_Data_Transfer_Processes,5
Filetop,ANOVA (Top 30%),5,File_Access_Processes,5
Filetop,FLAML (> 0.03),1,Total_Reads,9
Filetop,FLAML (> 0.03),2,Total_Writes,9
Filetop,FLAML (> 0.03),3,Total_Read_Data_Transfer,9
Filetop,FLAML (> 0.03),4,Total_Write_Data_Transfer,9
Filetop,FLAML (> 0.03),5,Read_Processes,9
Filetop,FLAML (> 0.03),6,Write_Processes,9
Filetop,FLAML (> 0.03),7,Read_Data_Transfer_Processes,9
Filetop,FLAML (> 0.03),8,Write_Data_Transfer_Processes,9
Filetop,FLAML (> 0.03),9,File_Access_Processes,9
Filetop,PSO,1,Total_Reads,7
Filetop,PSO,2,Total_Writes,7
Filetop,PSO,3,Total_Write_Data_Transfer,7
Filetop,PSO,4,Read_Processes,7
Filetop,PSO,5,Read_Data_Transfer_Processes,7
Filetop,PSO,6,Write_Data_Transfer_Processes,7
Filetop,PSO,7,File_Access_Processes,7
Filetop,WOA,1,Total_Reads,6
Filetop,WOA,2,Read_Processes,6
Filetop,WOA,3,Total_Write_Data_Transfer,6
Filetop,WOA,4,File_Access_Processes,6
Filetop,WOA,5,Read_Data_Transfer_Processes,6
Filetop,WOA,6,Write_Data_Transfer_Processes,6
Opensnoop,CORR (|r| < 0.5),1,Total_Paths,4
Opensnoop,CORR (|r| < 0.5),2,File_Descriptor,4
Opensnoop,CORR (|r| < 0.5),3,Temporary_DIR_Installation,4
Opensnoop,CORR (|r| < 0.5),4,Sys_Access,4
Opensnoop,ANOVA (Top 30%),1,Python_Related_Keywords,4
Opensnoop,ANOVA (Top 30%),2,Install_Package_Keywords,4
Opensnoop,ANOVA (Top 30%),3,Home_DIR_Installation,4
Opensnoop,ANOVA (Top 30%),4,User_Access,4
Opensnoop,FLAML (> 0.03),1,Total_Paths,11
Opensnoop,FLAML (> 0.03),2,Total_Error,11
Opensnoop,FLAML (> 0.03),3,Total_File_Descriptor,11
Opensnoop,FLAML (> 0.03),4,Python_Related_Keywords,11
Opensnoop,FLAML (> 0.03),5,Install_Package_Keywords,11
Opensnoop,FLAML (> 0.03),6,Root_DIR_Installation,11
Opensnoop,FLAML (> 0.03),7,Temporary_DIR_Installation,11
Opensnoop,FLAML (> 0.03),8,Home_DIR_Installation,11
Opensnoop,FLAML (> 0.03),9,User_Access,11
